Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
waapamaakopanen,"s/he must have seen him/her, them (obv.)",3s→3' TA Conjunct Dubitative Preterit,they(sing.) must have seen them(sing.)
wayaapamaakwen,"s/he must be seeing him/her, them (obv.)",3s→3' TA Conjunct Dubitative,they(sing.) must be seeing them(sing.)
waapamaanikopanen,"s/he, they (obv.) must have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(plur.) must have seen them(sing.)
waapamaanikopanen,"s/he, they (obv.) must have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(sing.) must have seen them(sing.)
wayaapamaanikwen,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,they(plur.) must be seeing them(sing.)
wayaapamaanikwen,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,they(sing.) must be seeing them(sing.)
waapamaanippan,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Conjunct Preterit,they(plur.) saw them(sing.)
waapamaanippan,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Conjunct Preterit,they(sing.) saw them(sing.)
waapamaanit,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,they(plur.) see them(sing.)
waapamaanit,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,they(sing.) see them(sing.)
waapamaappan,"s/he saw him/her, them (obv.)",3s→3' TA Conjunct Preterit,they(sing.) saw them(sing.)
waapamaassiikopanen,"s/he must not have seen him/her, them (obv.)",3s→3' TA Conjunct Dubitative Preterit,they(sing.) must not have seen them(sing.)
wayaapamaassiikwen,"s/he must not be seeing him/her, them (obv.)",3s→3' TA Conjunct Dubitative,they(sing.) must not be seeing them(sing.)
waapamaassiinikopanen,"s/he, they (obv.) must not have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(plur.) must not have seen them(sing.)
waapamaassiinikopanen,"s/he, they (obv.) must not have seen him/her, them (obv.)",3'→3'' TA Conjunct Dubitative Preterit,they(sing.) must not have seen them(sing.)
wayaapamaassiinikwen,"s/he, they (obv.) must not be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,they(plur.) must not be seeing them(sing.)
wayaapamaassiinikwen,"s/he, they (obv.) must not be seeing him/her, them (obv.)",3'→3'' TA Conjunct Dubitative,they(sing.) must not be seeing them(sing.)
waapamaassiiwaakopanen,"they (anim.)must not have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit,they(plur.)must not have seen them(sing.)
wayaapamaassiiwaakwen,"they (anim.) must not be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative,they(plur.) must not be seeing them(sing.)
waapamaassik,"s/he does not see him/her, them (obv.)",3s→3' TA Conjunct Indicative,FLAGthey(sing.) does not see them(sing.)
waapamaassikopan,"s/he did not see him/her, them (obv.)",3s→3' TA Conjunct Preterit,they(sing.) did not see them(sing.)
waapamaassikwaa,"they (anim.) do not see him/her, them (obv.)",3p→3' TA Conjunct Indicative,they(plur.) do not see them(sing.)
waapamaassikwaapan,"they (anim.) did not see him/her, them (obv.)",3p→3' TA Conjunct Preterit,they(plur.) did not see them(sing.)
waapamaassinikopan,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Conjunct Preterit,they(plur.) did not see them(sing.)
waapamaassinikopan,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Conjunct Preterit,they(sing.) did not see them(sing.)
waapamaassinit,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,they(plur.) do not see them(sing.)
waapamaassinit,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Conjunct Indicative,they(sing.) do not see them(sing.)
waapamaassiwaawaakopanen,"they (anim.) must not have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit,they(plur.) must not have seen them(sing.)
wayaapamaassiwaawaakwen,"they (anim.) must not be seeing him/her, them (obv.)",3p→3' TA Conjunct Dubitative,they(plur.) must not be seeing them(sing.)
waapamaat,"s/he sees him/her, them (obv.)",3s→3' TA Conjunct Indicative,FLAGthey(sing.) sees them(sing.)
waapamaawaakopanen,"they (anim.) must have seen him/her, them (obv.)",3p→3' TA Conjunct Dubitative Preterit,they(plur.) must have seen them(sing.)
