No,Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
0,maacaa,s/he leaves,3s AI Independent Indicative,they(sing.) leave
1,niimi,s/he dances,3s AI Independent Indicative,they(sing.) dance
2,waniššin,s/he is lost,3s AI Independent Indicative,they(sing.) are lost
3,miccaa,it is big,0s II Independent Indicative,it is big
4,sanakat,it is difficult,0s II Independent Indicative,it is difficult
5,pankissin,it falls,0s II Independent Indicative,it falls
6,maacaatok,s/he must be leaving,3s AI Independent Dubitative,they(sing.) must be leaving
7,niimiwitok,s/he must be dancing,3s AI Independent Dubitative,they(sing.) must be dancing
8,waniššinowitok,s/he must be lost,3s AI Independent Dubitative,they(sing.) must be lost
9,maacaatokenak,they (anim.) must be leaving,3p AI Independent Dubitative,they(plur.) must be leaving
10,niimiwitokenak,they (anim.) must be dancing,3p AI Independent Dubitative,they(plur.) must be dancing
11,waniššinowitokenak,they (anim.) must be lost,3p AI Independent Dubitative,they(plur.) must be lost
12,maacaatokenan,"s/he, they (obv.) must be leaving",3' AI Independent Dubitative,they(plur.) must be leaving
13,maacaatokenan,"s/he, they (obv.) must be leaving",3' AI Independent Dubitative,they(sing.) must be leaving
14,niimiwitokenan,"s/he, they (obv.) must be dancing",3' AI Independent Dubitative,they(plur.) must be dancing
15,niimiwitokenan,"s/he, they (obv.) must be dancing",3' AI Independent Dubitative,they(sing.) must be dancing
16,waniššinowitokenan,"s/he, they (obv.) must be lost",3' AI Independent Dubitative,they(plur.) must be lost
17,waniššinowitokenan,"s/he, they (obv.) must be lost",3' AI Independent Dubitative,they(sing.) must be lost
18,maacaanit,"s/he, they leave",3' AI Conjunct Indicative,they(plur.) leave
19,maacaanit,"s/he, they leave",3' AI Conjunct Indicative,they(sing.) leave
20,waniššininit,"s/he, they are lost",3' AI Conjunct Indicative,they(plur.) are lost
21,waniššininit,"s/he, they are lost",3' AI Conjunct Indicative,they(sing.) are lost
22,maacaank,people leave,X AI Conjunct Indicative,people leave
23,waniššinink,people are lost,X AI Conjunct Indicative,people are lost
24,maacaankipan,people left,X AI Conjunct Preterit,people left
25,waniššininkipan,people were lost,X AI Conjunct Preterit,people were lost
26,maacaakopan,s/he must have left,3s AI Independent Dubitative Preterit,they(sing.) must have left
27,waniššinokopan,s/he must have been lost,3s AI Independent Dubitative Preterit,they(sing.) must have been lost
28,maacaakopanen,s/he must have left,3s AI Conjunct Dubitative Preterit,they(sing.) must have left
29,waniššinokopanen,s/he must have been lost,3s AI Conjunct Dubitative Preterit,they(sing.) must have been lost
30,maacaakwaapan,they (anim.) must have left,3p AI Independent Dubitative Preterit,they(plur.) must have left
31,waniššinokwaapan,they (anim.) must have been lost,3p AI Independent Dubitative Preterit,they(plur.) must have been lost
32,maacaawaat,they leave,3p AI Conjunct Indicative,they(plur.) leave
33,waniššinowaat,they are lost,3p AI Conjunct Indicative,they(plur.) are lost
34,maacaapan,s/he left,3s AI Independent Preterit,they(sing.) left
35,niimiipan,s/he danced,3s AI Independent Preterit,they(sing.) danced
36,waniššinoopan,s/he was lost,3s AI Independent Preterit,they(sing.) was lost
37,maacaapanek,they (anim.) left,3p AI Independent Preterit,they(plur.) left
38,niimiipanek,they (anim.) danced,3p AI Independent Preterit,they(plur.) danced
39,waniššinoopanek,they (anim.) were lost,3p AI Independent Preterit,they(plur.) were lost
40,maacaapanen,"s/he, they (obv.) left",3' AI Independent Preterit,they(plur.) left
41,maacaapanen,"s/he, they (obv.) left",3' AI Independent Preterit,they(sing.) left
42,niimiipanen,"s/he, they (obv.) danced",3' AI Independent Preterit,they(plur.) danced
43,niimiipanen,"s/he, they (obv.) danced",3' AI Independent Preterit,they(sing.) danced
44,waniššinoopanen,"s/he, they (obv.) was/were lost",3' AI Independent Preterit,they(plur.) were lost
45,waniššinoopanen,"s/he, they (obv.) was/were lost",3' AI Independent Preterit,they(sing.) were lost
46,maacaayaampaan,I left,1s AI Conjunct Preterit,I left
47,waniššinaampaan,I was lost,1s AI Conjunct Preterit,I was lost
48,maacaayaan,I leave,1s AI Conjunct Indicative,I leave
49,waniššinaan,I am lost,1s AI Conjunct Indicative,I am lost
50,maacaayaank,we (excl.) leave,1p AI Conjunct Indicative,we leave
51,waniššinaank,we (excl.) are lost,1p AI Conjunct Indicative,we are lost
52,maacaayaankipan,we (excl.) left,1p AI Conjunct Preterit,we left
53,waniššinaankipan,we (excl.) were lost,1p AI Conjunct Preterit,we were lost
54,maacaayampan,you (sg.) left,2s AI Conjunct Preterit,you left
55,waniššinampan,you (sg.) were lost,2s AI Conjunct Preterit,you were lost
56,maacaayan,you (sg.) leave,2s AI Conjunct Indicative,you leave
57,waniššinan,you (sg.) are lost,2s AI Conjunct Indicative,you are lost
58,maacaayank,we (incl.) leave,21 AI Conjunct Indicative,we leave
59,waniššinank,we (incl.) are lost,21 AI Conjunct Indicative,we are lost
