Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
maacaa,s/he leaves,3s AI Independent Indicative,FLAGthey(sing.) leaves
maacaatok,s/he must be leaving,3s AI Independent Dubitative,they(sing.) must be leaving
maacaatokenak,they (anim.) must be leaving,3p AI Independent Dubitative,they(plur.) must be leaving
maacaatokenan,"s/he, they (obv.) must be leaving",3' AI Independent Dubitative,they(plur.) must be leaving
maacaatokenan,"s/he, they (obv.) must be leaving",3' AI Independent Dubitative,they(sing.) must be leaving
maacaanit,"s/he, they leave",3' AI Conjunct Indicative,they(plur.) leave
maacaanit,"s/he, they leave",3' AI Conjunct Indicative,they(sing.) leave
maacaank,people leave,X AI Conjunct Indicative,people leave
maacaankipan,people left,X AI Conjunct Preterit,people left
maacaakopan,s/he must have left,3s AI Independent Dubitative Preterit,they(sing.) must have left
maacaakopanen,s/he must have left,3s AI Conjunct Dubitative Preterit,they(sing.) must have left
maacaakwaapan,they (anim.) must have left,3p AI Independent Dubitative Preterit,they(plur.) must have left
maacaawaat,they leave,3p AI Conjunct Indicative,they(plur.) leave
maacaapan,s/he left,3s AI Independent Preterit,they(sing.) left
maacaapanek,they (anim.) left,3p AI Independent Preterit,they(plur.) left
maacaapanen,"s/he, they (obv.) left",3' AI Independent Preterit,they(plur.) left
maacaapanen,"s/he, they (obv.) left",3' AI Independent Preterit,they(sing.) left
maacaayaampaan,I left,1s AI Conjunct Preterit,I left
maacaayaan,I leave,1s AI Conjunct Indicative,I leave
maacaayaank,we (excl.) leave,1p AI Conjunct Indicative,we leave
maacaayaankipan,we (excl.) left,1p AI Conjunct Preterit,we left
maacaayampan,you (sg.) left,2s AI Conjunct Preterit,you left
maacaayan,you (sg.) leave,2s AI Conjunct Indicative,you leave
maacaayank,we (incl.) leave,21 AI Conjunct Indicative,we leave
maacaayankipan,we (incl.) left,21 AI Conjunct Preterit,we left
maacaayek,you (pl.) leave,2p AI Conjunct Indicative,you leave
maacaayekipan,you (pl.) left,2p AI Conjunct Preterit,you left
mayaacaakwen,s/he must be leaving,3s AI Conjunct Dubitative,they(sing.) must be leaving
maacaam,people leave,X AI Independent Indicative,people leave
maacaamwaapan,people left,X AI Independent Preterit,people left
maacaamwaatok,people must be leaving,X AI Independent Dubitative,people must be leaving
maacaanikopan,"s/he, they (obv.) must have left",3' AI Independent Dubitative Preterit,they(plur.) must have left
maacaanikopan,"s/he, they (obv.) must have left",3' AI Independent Dubitative Preterit,they(sing.) must have left
maacaanikopanen,"s/he, they (obv.) must have left",3' AI Conjunct Dubitative Preterit,they(plur.) must have left
maacaanikopanen,"s/he, they (obv.) must have left",3' AI Conjunct Dubitative Preterit,they(sing.) must have left
mayaacaanikwen,"s/he, they (obv.) must be leaving",3' AI Conjunct Dubitative,they(plur.) must be leaving
mayaacaanikwen,"s/he, they (obv.) must be leaving",3' AI Conjunct Dubitative,they(sing.) must be leaving
maacaanippan,"s/he, they (obv.) left",3' AI Conjunct Preterit,they(plur.) left
maacaanippan,"s/he, they (obv.) left",3' AI Conjunct Preterit,they(sing.) left
maacaappan,s/he left,3s AI Conjunct Preterit,they(sing.) left
maacaassiikopan,s/he must not have left,3s AI Independent Dubitative Preterit,they(sing.) must not have left
maacaassiikopanen,s/he must not have left,3s AI Conjunct Dubitative Preterit,they(sing.) must not have left
maacaassiikwaapan,they (anim.) must not have left,3p AI Independent Dubitative Preterit,they(plur.) must not have left
mayaacaassiikwen,s/he must not be leaving,3s AI Conjunct Dubitative,they(sing.) must not be leaving
maacaassiim,people do not leave,X AI Independent Indicative,people do not leave
maacaassiimwaapan,people did not leave,X AI Independent Preterit,people did not leave
maacaassiin,s/he does not leave,3s AI Independent Indicative,FLAGthey(sing.) does not leave
maacaassiinikopan,"s/he, they (obv.) must not have left",3' AI Independent Dubitative Preterit,they(plur.) must not have left
maacaassiinikopan,"s/he, they (obv.) must not have left",3' AI Independent Dubitative Preterit,they(sing.) must not have left
maacaassiinikopanen,"s/he, they (obv.) must not have left",3' AI Conjunct Dubitative Preterit,they(plur.) must not have left
maacaassiinikopanen,"s/he, they (obv.) must not have left",3' AI Conjunct Dubitative Preterit,they(sing.) must not have left
mayaacaassiinikwen,"s/he, they (obv.) must not be leaving",3' AI Conjunct Dubitative,they(plur.) must not be leaving
mayaacaassiinikwen,"s/he, they (obv.) must not be leaving",3' AI Conjunct Dubitative,they(sing.) must not be leaving
maacaassiipan,s/he did not leave,3s AI Independent Preterit,they(sing.) did not leave
maacaassiipanek,they (anim.) did not leave,3p AI Independent Preterit,they(plur.) did not leave
maacaassiipanen,"s/he, they (obv.) did not leave",3' AI Independent Preterit,they(plur.) did not leave
maacaassiipanen,"s/he, they (obv.) did not leave",3' AI Independent Preterit,they(sing.) did not leave
maacaassiiwaakopanen,they (anim.) must not have left,3p AI Conjunct Dubitative Preterit,they(plur.) must not have left
mayaacaassiiwaakwen,they (anim.) must not be leaving,3p AI Conjunct Dubitative,they(plur.) must not be leaving
maacaassiiwaampaanen,I must not have left,1s AI Conjunct Dubitative Preterit,I must not have left
mayaacaassiiwaanen,I must not be leaving,1s AI Conjunct Dubitative,I must not be leaving
