Southwestern Ojibwe,English(formatted)
inini,man
ininiwak,men
okimaa,chief
okimaa,boss
okimaak,chiefs
okimaak,bosses
nintaaniss,my daughter
nintassnissak,my daughters
amikk,beaver
amikkwak,beavers
aantek,crow
aantekwak,crows
memenkwaa,butterfly
memenkwaak,butterflies
name,sturgeon
namewak,sturgeons
nintootem,my totem
nintootemak,my totems
manitoo,manitou
manitook,manitous
ciipay,ghost
ciipay,corpse
ciipayak,ghosts
ciipayak,corpses
animikii,thunderer
animikiik,thunderers
ninciccaak,my soul
ninciccaakwak,my souls
pepaamaatisicik,traveler
kicci-mookkomaan,butcher knife
kicci-mookkomaanan,butcher knives
kicci-mookkomaan,whiteman
kicci-mookkomaanak,whitemen
makkisin,shoe
makkisinan,shoes
makkisin,tire
makkisinak,tires
mittik,stick
mittikoon,sticks
mittik,tree
mittikook,trees
okkan,their(sing.) bone
okkanan,their(sing.) bones
okkan,sucking tube
okkanak,sucking tubes
otainwaakan,toy
otaminwaakanan,toys
otaminwaakan,doll
otaminwaakanak,dolls
nipi,water
wiiyaass,meat
siinsipaakkwat,sugar
manoomin,wild rice
niipowakatoon onaakanan,there are a lot of dishes
niipowakat nipi,there is a lot of water
wiikiwaam,wigwam
wiikwaassikamik,birchbark lodge
mantaamin,corn
mantaamin,kernel of corn
mantaaminak,kernels of corn
piiwaapikk,metal
piiwaapikk,piece of metal
piiwaapikkoon,pieces of metal
wanakekk,bark
wanakekk,piece of bark
wanakekkwak,pieces of bark
miinan,blueberries
wiinisiss,their(sing.) single hair
wiinisissan,their(sing.) hair
manitoominenss,seedbead
manitoominenssak,seedbeads
nikkak,Canada gooses
nikkan,Canada goose
waciwan,mountain
kaakaakiwak,ravens
kaakaakiwan,raven
ciipayak,ghosts
ciipayan,ghost
nintayak,dogs
nintayak,horses
nintayan,dog
nintayan,dogs
kiikoonyak,fishes
kiikoonyan,fish
ininiwak,men
ininiwan,man
ootenawan,town
ikkwewak,women
ikkwewan,woman
nimaamaa,my mother
makkwak,bears
makkwan,bear
amikkwak,beavers
amikkwan,beaver
kaakwak,porcupines
kaakwan,porcupine
waakaakkwatoon,ax
mittikwaapaakkook,hickory trees
mittikwaapaakkoon,hickory tree
kinepikook,snakes
kinepikoon,snake
akkiin,land
apwiin,paddle
assiniik,stones
assiniin,stone
omootayan,bottle
ociipikkan,root
nisitan,my feet
nintootikkossiwak,kidneys
nintootikkossiwan,kidney
ninowak,cheeks
ninowan,cheek
ninkitikwak,knees
ninkitikwan,knees
miikkanan,road
ninciimaaninaanin,our boats
ociimaaninwaan,their boats
kitakkikkowaak,your pails
otakkikkowaan,their pails
ociimaanini,the other's boat
ociimaanini,the other's boats
ociimaaninipanen,the other's former boats
akkikkopanek,the former pails
ciimaanipanen,the former boats
waciw,mountain
kaakaakiw,raven
niiyaw,my body
ciipay,ghost
nintay,my dog
nintay,my horse
akkiwensii,old man
inini,man
ikkwe,woman
waapoos,rabbit
amikk,beaver
kaak,porcupine
ninkitik,my knee
niimi,he dances
nintenikoonssiw,I am an ant
pisintaw,listen to him
assin,stone
ninink,my armpit
nininkwiin,my armpits
assinaap,net sinker
